CodFazenda;Ano;Produção/vacas em lactação (litros/animal/dia);Clusters
1541E88E-A6AE-4E49-8EE0-A70601483A03;2021;12.23;0
1541E88E-A6AE-4E49-8EE0-A70601483A03;2022;14.103333333333332;0
22325130-AB7E-4E57-9F90-31A69DA96FE2;2021;12.487142857142857;0
22325130-AB7E-4E57-9F90-31A69DA96FE2;2022;12.380833333333333;0
ABECF306-263F-4E0C-A89C-AABD00B00250;2019;15.1775;4
ABECF306-263F-4E0C-A89C-AABD00B00250;2020;14.109166666666667;0
ABECF306-263F-4E0C-A89C-AABD00B00250;2021;14.5025;0
ABECF306-263F-4E0C-A89C-AABD00B00250;2022;11.664166666666665;0
18141DF1-DC2F-48C3-A4BD-A25500B279E8;2019;17.909999999999997;3
18141DF1-DC2F-48C3-A4BD-A25500B279E8;2020;17.393333333333334;4
18141DF1-DC2F-48C3-A4BD-A25500B279E8;2021;17.060833333333335;4
18141DF1-DC2F-48C3-A4BD-A25500B279E8;2022;15.358333333333334;4
18141DF1-DC2F-48C3-A4BD-A25500B279E8;2024;13.780000000000001;0
07A75329-125D-462A-8CFB-F9AB939C6390;2021;10.63111111111111;2
07A75329-125D-462A-8CFB-F9AB939C6390;2022;8.3425;2
3BCE659D-F9CA-4BF4-8361-A27E0121EE76;2019;19.487777777777776;3
3BCE659D-F9CA-4BF4-8361-A27E0121EE76;2020;22.08;1
3BCE659D-F9CA-4BF4-8361-A27E0121EE76;2021;20.989166666666666;1
3BCE659D-F9CA-4BF4-8361-A27E0121EE76;2022;17.974999999999998;3
65B9ABE0-A192-4EA6-9088-BEBEB3B6E9C3;2022;15.23181818181818;4
49881658-109E-4B1C-9AFB-A25500B24077;2019;14.824444444444444;4
49881658-109E-4B1C-9AFB-A25500B24077;2020;18.828333333333337;3
49881658-109E-4B1C-9AFB-A25500B24077;2021;18.162499999999998;3
49881658-109E-4B1C-9AFB-A25500B24077;2022;15.079999999999998;4
49881658-109E-4B1C-9AFB-A25500B24077;2024;20.58666666666667;3
44C00F7B-10C2-4986-8D95-A25500B23826;2020;17.621666666666666;3
44C00F7B-10C2-4986-8D95-A25500B23826;2021;17.3475;4
44C00F7B-10C2-4986-8D95-A25500B23826;2022;17.179166666666664;4
66D4A322-026D-4222-8CA6-694DCDBAD294;2022;18.177500000000002;3
66D4A322-026D-4222-8CA6-694DCDBAD294;2024;8.775;2
84026039-62FE-475B-A99F-60AE67B7627B;2022;14.388;0
9F18D39B-C4DF-4B07-B4DE-42432B5CEED9;2024;9.19;2
5BE8C334-72BC-4842-ABD3-BD5ACDE2736B;2022;7.794;2
03DD97EB-77DC-44C1-A1B7-E311D662BCDB;2020;9.22625;2
03DD97EB-77DC-44C1-A1B7-E311D662BCDB;2021;9.556666666666667;2
03DD97EB-77DC-44C1-A1B7-E311D662BCDB;2022;8.259166666666665;2
7C0E035D-C49C-4051-B118-AA0D00AC2E0E;2019;12.085555555555556;0
7C0E035D-C49C-4051-B118-AA0D00AC2E0E;2020;12.207500000000001;0
7C0E035D-C49C-4051-B118-AA0D00AC2E0E;2021;12.079166666666666;0
7C0E035D-C49C-4051-B118-AA0D00AC2E0E;2022;10.99;2
B661743D-A49A-4951-9718-7E6987815048;2024;11.446666666666667;2
FDE9882B-94B3-433C-9629-9086FDDD5F8E;2022;10.74;2
EE13B5B9-E8BA-440E-966E-66BE1FA3AE89;2021;21.53;1
EE13B5B9-E8BA-440E-966E-66BE1FA3AE89;2022;21.49083333333333;1
EE13B5B9-E8BA-440E-966E-66BE1FA3AE89;2024;18.45;3
8BD43893-3824-4937-BF3C-DFCC053ADB17;2022;20.98875;1
8BD43893-3824-4937-BF3C-DFCC053ADB17;2024;19.356666666666666;3
FB68350D-F000-4BAE-9CD0-B0E9B2DEE4D1;2022;15.98;4
C6218AA6-4EEB-4F74-95A1-A25500B2707E;2020;20.2075;3
C6218AA6-4EEB-4F74-95A1-A25500B2707E;2021;21.534166666666668;1
C6218AA6-4EEB-4F74-95A1-A25500B2707E;2022;21.689999999999998;1
F6C29FF3-8F56-41EA-A6C9-A9BA013D5CFC;2019;11.08111111111111;2
F6C29FF3-8F56-41EA-A6C9-A9BA013D5CFC;2020;10.045833333333334;2
F6C29FF3-8F56-41EA-A6C9-A9BA013D5CFC;2021;11.008333333333333;2
F6C29FF3-8F56-41EA-A6C9-A9BA013D5CFC;2022;12.165833333333332;0
F6C29FF3-8F56-41EA-A6C9-A9BA013D5CFC;2024;12.573333333333332;0
864AB093-1F4A-48C2-A75F-A92D010F94DF;2019;15.23777777777778;4
864AB093-1F4A-48C2-A75F-A92D010F94DF;2020;13.9325;0
864AB093-1F4A-48C2-A75F-A92D010F94DF;2021;11.4525;2
864AB093-1F4A-48C2-A75F-A92D010F94DF;2022;12.972500000000002;0
11027688-FC56-4000-A554-AAA00114C7D1;2019;11.028;2
11027688-FC56-4000-A554-AAA00114C7D1;2020;13.768333333333336;0
11027688-FC56-4000-A554-AAA00114C7D1;2021;16.079166666666666;4
11027688-FC56-4000-A554-AAA00114C7D1;2022;12.924999999999999;0
91BFA39B-9F0B-4477-90BC-CCE8EC06F979;2020;9.577142857142858;2
91BFA39B-9F0B-4477-90BC-CCE8EC06F979;2021;12.185833333333335;0
91BFA39B-9F0B-4477-90BC-CCE8EC06F979;2022;10.692499999999997;2
30EE95B8-1A57-4060-A29F-7132C4FF066D;2022;10.835;2
67109F1F-673D-4830-8D64-A84E0102EE4A;2019;12.24;0
67109F1F-673D-4830-8D64-A84E0102EE4A;2020;16.485833333333332;4
67109F1F-673D-4830-8D64-A84E0102EE4A;2021;12.729999999999999;0
67109F1F-673D-4830-8D64-A84E0102EE4A;2022;14.136666666666665;0
67109F1F-673D-4830-8D64-A84E0102EE4A;2024;13.94;0
A05147F4-D2A6-4240-9421-A25500B258D3;2019;19.866666666666667;3
A05147F4-D2A6-4240-9421-A25500B258D3;2020;16.28333333333333;4
A05147F4-D2A6-4240-9421-A25500B258D3;2021;18.538333333333338;3
A05147F4-D2A6-4240-9421-A25500B258D3;2022;17.422500000000003;4
